lot,wafer,x,y,hbin,sbin,testdate,temp,testA,testB,testC
LOT123,W01,-7,-2,3,107,2026-04-22,25,1.098,0.773,5.758
LOT123,W01,-7,-1,3,107,2026-04-22,25,1.099,0.772,5.966
LOT123,W01,-7,0,3,108,2026-04-22,25,1.116,0.758,5.993
LOT123,W01,-7,1,3,106,2026-04-22,25,1.093,0.797,6.067
LOT123,W01,-7,2,1,1,2026-04-22,25,0.757,0.773,6.275
LOT123,W01,-6,-4,3,107,2026-04-22,25,1.128,0.768,5.578
LOT123,W01,-6,-3,3,106,2026-04-22,25,1.085,0.748,5.578
LOT123,W01,-6,-2,1,1,2026-04-22,25,0.735,0.774,5.852
LOT123,W01,-6,-1,1,1,2026-04-22,25,0.719,0.771,5.908
LOT123,W01,-6,0,1,1,2026-04-22,25,0.73,0.688,6.009
LOT123,W01,-6,1,1,1,2026-04-22,25,0.735,0.764,6.042
LOT123,W01,-6,2,1,1,2026-04-22,25,0.718,0.77,6.177
LOT123,W01,-6,3,3,109,2026-04-22,25,1.099,0.744,6.315
LOT123,W01,-6,4,1,1,2026-04-22,25,0.767,0.775,6.414
LOT123,W01,-5,-5,3,101,2026-04-22,25,1.125,0.761,5.568
LOT123,W01,-5,-4,1,1,2026-04-22,25,0.731,0.755,5.63
LOT123,W01,-5,-3,1,1,2026-04-22,25,0.733,0.764,5.672
LOT123,W01,-5,-2,1,1,2026-04-22,25,0.7,0.739,5.797
LOT123,W01,-5,-1,1,1,2026-04-22,25,0.703,0.756,5.977
LOT123,W01,-5,0,1,1,2026-04-22,25,0.708,0.733,6.02
LOT123,W01,-5,1,1,1,2026-04-22,25,0.691,0.766,6.085
LOT123,W01,-5,2,1,1,2026-04-22,25,0.729,0.748,6.18
LOT123,W01,-5,3,1,1,2026-04-22,25,0.715,0.719,6.271
LOT123,W01,-5,4,1,1,2026-04-22,25,0.731,0.753,6.425
LOT123,W01,-5,5,3,103,2026-04-22,25,1.11,0.741,6.575
LOT123,W01,-4,-6,1,1,2026-04-22,25,0.745,0.744,5.367
LOT123,W01,-4,-5,1,1,2026-04-22,25,0.718,0.753,5.428
LOT123,W01,-4,-4,1,1,2026-04-22,25,0.712,0.75,5.645
LOT123,W01,-4,-3,1,1,2026-04-22,25,0.688,0.716,5.736
LOT123,W01,-4,-2,1,1,2026-04-22,25,0.696,0.711,5.931
LOT123,W01,-4,-1,1,1,2026-04-22,25,0.668,0.754,5.93
LOT123,W01,-4,0,1,1,2026-04-22,25,0.675,0.744,6.026
LOT123,W01,-4,1,1,1,2026-04-22,25,0.672,0.742,6.19
LOT123,W01,-4,2,1,1,2026-04-22,25,0.686,0.737,6.159
LOT123,W01,-4,3,1,1,2026-04-22,25,0.697,0.774,6.32
LOT123,W01,-4,4,1,1,2026-04-22,25,0.73,0.718,6.33
LOT123,W01,-4,5,1,1,2026-04-22,25,0.743,0.719,6.51
LOT123,W01,-4,6,1,1,2026-04-22,25,0.761,0.732,6.68
LOT123,W01,-3,-6,3,103,2026-04-22,25,1.069,0.746,5.396
LOT123,W01,-3,-5,1,1,2026-04-22,25,0.739,0.687,5.518
LOT123,W01,-3,-4,1,1,2026-04-22,25,0.703,0.739,5.622
LOT123,W01,-3,-3,1,1,2026-04-22,25,0.68,0.746,5.716
LOT123,W01,-3,-2,1,1,2026-04-22,25,0.653,0.756,5.774
LOT123,W01,-3,-1,1,1,2026-04-22,25,0.675,0.725,5.97
LOT123,W01,-3,0,1,1,2026-04-22,25,0.663,0.704,6.077
LOT123,W01,-3,1,1,1,2026-04-22,25,0.666,0.751,6.087
LOT123,W01,-3,2,1,1,2026-04-22,25,0.664,0.735,6.194
LOT123,W01,-3,3,1,1,2026-04-22,25,0.697,0.746,6.414
LOT123,W01,-3,4,1,1,2026-04-22,25,0.707,0.743,6.353
LOT123,W01,-3,5,1,1,2026-04-22,25,0.71,0.76,6.542
LOT123,W01,-3,6,3,102,2026-04-22,25,1.096,0.722,6.606
LOT123,W01,-2,-7,3,106,2026-04-22,25,1.138,0.751,5.231
LOT123,W01,-2,-6,1,1,2026-04-22,25,0.723,0.753,5.389
LOT123,W01,-2,-5,1,1,2026-04-22,25,0.704,0.731,5.473
LOT123,W01,-2,-4,1,1,2026-04-22,25,0.697,0.724,5.57
LOT123,W01,-2,-3,1,1,2026-04-22,25,0.653,0.717,5.637
LOT123,W01,-2,-2,1,1,2026-04-22,25,0.649,0.71,5.709
LOT123,W01,-2,-1,1,1,2026-04-22,25,0.644,0.709,5.962
LOT123,W01,-2,0,1,1,2026-04-22,25,0.63,0.703,5.981
LOT123,W01,-2,1,1,1,2026-04-22,25,0.64,0.688,6.146
LOT123,W01,-2,2,1,1,2026-04-22,25,0.66,0.714,6.194
LOT123,W01,-2,3,1,1,2026-04-22,25,0.662,0.684,6.339
LOT123,W01,-2,4,1,1,2026-04-22,25,0.697,0.74,6.295
LOT123,W01,-2,5,1,1,2026-04-22,25,0.72,0.716,6.55
LOT123,W01,-2,6,1,1,2026-04-22,25,0.729,0.724,6.634
LOT123,W01,-2,7,3,109,2026-04-22,25,1.124,0.76,6.677
LOT123,W01,-1,-7,3,107,2026-04-22,25,1.127,0.7,5.299
LOT123,W01,-1,-6,1,1,2026-04-22,25,0.72,0.715,5.338
LOT123,W01,-1,-5,1,1,2026-04-22,25,0.702,0.7,5.516
LOT123,W01,-1,-4,1,1,2026-04-22,25,0.687,0.734,5.545
LOT123,W01,-1,-3,1,1,2026-04-22,25,0.664,0.703,5.659
LOT123,W01,-1,-2,1,1,2026-04-22,25,0.642,0.717,5.768
LOT123,W01,-1,-1,1,1,2026-04-22,25,0.643,0.711,5.898
LOT123,W01,-1,0,1,1,2026-04-22,25,0.635,0.728,6.032
LOT123,W01,-1,1,1,1,2026-04-22,25,0.637,0.706,6.11
LOT123,W01,-1,2,1,1,2026-04-22,25,0.647,0.69,6.245
LOT123,W01,-1,3,1,1,2026-04-22,25,0.678,0.728,6.313
LOT123,W01,-1,4,1,1,2026-04-22,25,0.688,0.701,6.461
LOT123,W01,-1,5,1,1,2026-04-22,25,0.726,0.705,6.562
LOT123,W01,-1,6,1,1,2026-04-22,25,0.732,0.694,6.528
LOT123,W01,-1,7,3,101,2026-04-22,25,1.103,0.72,6.766
LOT123,W01,0,-7,1,1,2026-04-22,25,0.752,0.649,5.224
LOT123,W01,0,-6,1,1,2026-04-22,25,0.703,0.684,5.387
LOT123,W01,0,-5,1,1,2026-04-22,25,0.708,0.712,5.534
LOT123,W01,0,-4,1,1,2026-04-22,25,0.66,0.711,5.649
LOT123,W01,0,-3,1,1,2026-04-22,25,0.665,0.675,5.683
LOT123,W01,0,-2,1,1,2026-04-22,25,0.644,0.706,5.777
LOT123,W01,0,-1,1,1,2026-04-22,25,0.622,0.71,5.886
LOT123,W01,0,0,1,1,2026-04-22,25,0.607,0.702,5.908
LOT123,W01,0,1,1,1,2026-04-22,25,0.626,0.704,6.076
LOT123,W01,0,2,1,1,2026-04-22,25,0.63,0.733,6.199
LOT123,W01,0,3,1,1,2026-04-22,25,0.657,0.694,6.293
LOT123,W01,0,4,1,1,2026-04-22,25,0.671,0.73,6.357
LOT123,W01,0,5,1,1,2026-04-22,25,0.701,0.688,6.52
LOT123,W01,0,6,1,1,2026-04-22,25,0.722,0.669,6.616
LOT123,W01,0,7,3,104,2026-04-22,25,1.092,0.716,6.748
LOT123,W01,1,-7,3,104,2026-04-22,25,1.119,0.692,5.278
LOT123,W01,1,-6,1,1,2026-04-22,25,0.715,0.68,5.461
LOT123,W01,1,-5,1,1,2026-04-22,25,0.689,0.669,5.481
LOT123,W01,1,-4,1,1,2026-04-22,25,0.708,0.68,5.635
LOT123,W01,1,-3,1,1,2026-04-22,25,0.67,0.69,5.671
LOT123,W01,1,-2,1,1,2026-04-22,25,0.658,0.702,5.792
LOT123,W01,1,-1,1,1,2026-04-22,25,0.605,0.689,5.921
LOT123,W01,1,0,1,1,2026-04-22,25,0.603,0.728,5.942
LOT123,W01,1,1,1,1,2026-04-22,25,0.624,0.685,6.0
LOT123,W01,1,2,1,1,2026-04-22,25,0.643,0.659,6.126
LOT123,W01,1,3,1,1,2026-04-22,25,0.668,0.684,6.38
LOT123,W01,1,4,1,1,2026-04-22,25,0.663,0.682,6.475
LOT123,W01,1,5,1,1,2026-04-22,25,0.687,0.727,6.431
LOT123,W01,1,6,1,1,2026-04-22,25,0.718,0.672,6.54
LOT123,W01,1,7,1,1,2026-04-22,25,0.75,0.714,6.636
LOT123,W01,2,-7,3,104,2026-04-22,25,1.126,0.712,5.211
LOT123,W01,2,-6,1,1,2026-04-22,25,0.752,0.679,5.427
LOT123,W01,2,-5,1,1,2026-04-22,25,0.686,0.666,5.494
LOT123,W01,2,-4,1,1,2026-04-22,25,0.689,0.685,5.677
LOT123,W01,2,-3,1,1,2026-04-22,25,0.692,0.641,5.731
LOT123,W01,2,-2,1,1,2026-04-22,25,0.674,0.65,5.858
LOT123,W01,2,-1,1,1,2026-04-22,25,0.63,0.712,5.959
LOT123,W01,2,0,1,1,2026-04-22,25,0.656,0.734,5.946
LOT123,W01,2,1,1,1,2026-04-22,25,0.637,0.67,6.106
LOT123,W01,2,2,1,1,2026-04-22,25,0.654,0.679,6.193
LOT123,W01,2,3,1,1,2026-04-22,25,0.656,0.673,6.329
LOT123,W01,2,4,1,1,2026-04-22,25,0.687,0.706,6.457
LOT123,W01,2,5,1,1,2026-04-22,25,0.721,0.669,6.526
LOT123,W01,2,6,1,1,2026-04-22,25,0.72,0.67,6.602
LOT123,W01,2,7,3,104,2026-04-22,25,1.128,0.698,6.719
LOT123,W01,3,-6,3,105,2026-04-22,25,1.091,0.658,5.472
LOT123,W01,3,-5,1,1,2026-04-22,25,0.705,0.681,5.464
LOT123,W01,3,-4,1,1,2026-04-22,25,0.694,0.672,5.561
LOT123,W01,3,-3,1,1,2026-04-22,25,0.697,0.667,5.732
LOT123,W01,3,-2,1,1,2026-04-22,25,0.672,0.673,5.859
LOT123,W01,3,-1,1,1,2026-04-22,25,0.663,0.679,5.846
LOT123,W01,3,0,1,1,2026-04-22,25,0.653,0.669,6.018
LOT123,W01,3,1,1,1,2026-04-22,25,0.689,0.685,6.15
LOT123,W01,3,2,1,1,2026-04-22,25,0.656,0.645,6.112
LOT123,W01,3,3,1,1,2026-04-22,25,0.681,0.673,6.289
LOT123,W01,3,4,1,1,2026-04-22,25,0.708,0.686,6.373
LOT123,W01,3,5,1,1,2026-04-22,25,0.716,0.669,6.502
LOT123,W01,3,6,1,1,2026-04-22,25,0.739,0.688,6.663
LOT123,W01,4,-6,3,108,2026-04-22,25,1.092,0.66,5.4
LOT123,W01,4,-5,1,1,2026-04-22,25,0.723,0.689,5.47
LOT123,W01,4,-4,1,1,2026-04-22,25,0.726,0.643,5.57
LOT123,W01,4,-3,1,1,2026-04-22,25,0.702,0.651,5.776
LOT123,W01,4,-2,1,1,2026-04-22,25,0.703,0.624,5.809
LOT123,W01,4,-1,1,1,2026-04-22,25,0.683,0.653,5.871
LOT123,W01,4,0,1,1,2026-04-22,25,0.694,0.651,5.999
LOT123,W01,4,1,1,1,2026-04-22,25,0.683,0.621,5.989
LOT123,W01,4,2,1,1,2026-04-22,25,0.683,0.705,6.199
LOT123,W01,4,3,1,1,2026-04-22,25,0.692,0.657,6.237
LOT123,W01,4,4,1,1,2026-04-22,25,0.722,0.652,6.434
LOT123,W01,4,5,1,1,2026-04-22,25,0.731,0.686,6.479
LOT123,W01,4,6,3,104,2026-04-22,25,1.131,0.673,6.679
LOT123,W01,5,-5,3,106,2026-04-22,25,1.11,0.646,5.518
LOT123,W01,5,-4,1,1,2026-04-22,25,0.718,0.657,5.544
LOT123,W01,5,-3,1,1,2026-04-22,25,0.718,0.669,5.736
LOT123,W01,5,-2,1,1,2026-04-22,25,0.701,0.663,5.857
LOT123,W01,5,-1,1,1,2026-04-22,25,0.714,0.646,5.934
LOT123,W01,5,0,1,1,2026-04-22,25,0.698,0.616,6.03
LOT123,W01,5,1,1,1,2026-04-22,25,0.681,0.625,6.127
LOT123,W01,5,2,1,1,2026-04-22,25,0.692,0.654,6.259
LOT123,W01,5,3,1,1,2026-04-22,25,0.704,0.619,6.315
LOT123,W01,5,4,1,1,2026-04-22,25,0.729,0.656,6.407
LOT123,W01,5,5,3,108,2026-04-22,25,1.126,0.672,6.427
LOT123,W01,6,-4,3,101,2026-04-22,25,1.134,0.627,5.663
LOT123,W01,6,-3,3,104,2026-04-22,25,1.118,0.661,5.683
LOT123,W01,6,-2,1,1,2026-04-22,25,0.732,0.645,5.78
LOT123,W01,6,-1,1,1,2026-04-22,25,0.718,0.683,5.896
LOT123,W01,6,0,1,1,2026-04-22,25,0.712,0.662,6.004
LOT123,W01,6,1,1,1,2026-04-22,25,0.714,0.641,6.157
LOT123,W01,6,2,1,1,2026-04-22,25,0.721,0.663,6.183
LOT123,W01,6,3,3,101,2026-04-22,25,1.09,0.627,6.249
LOT123,W01,6,4,3,107,2026-04-22,25,1.101,0.646,6.322
LOT123,W01,7,-2,1,1,2026-04-22,25,0.736,0.615,5.816
LOT123,W01,7,-1,3,103,2026-04-22,25,1.097,0.628,5.862
LOT123,W01,7,0,3,107,2026-04-22,25,1.079,0.633,5.971
LOT123,W01,7,1,1,1,2026-04-22,25,0.726,0.643,6.107
LOT123,W01,7,2,1,1,2026-04-22,25,0.741,0.644,6.252
LOT123,W01,-7,-2,3,109,2026-04-22,85,1.198,0.759,5.823
LOT123,W01,-7,-1,1,1,2026-04-22,85,0.818,0.777,5.828
LOT123,W01,-7,0,3,102,2026-04-22,85,1.224,0.762,5.996
LOT123,W01,-7,1,3,106,2026-04-22,85,1.214,0.758,6.041
LOT123,W01,-7,2,3,108,2026-04-22,85,1.201,0.752,6.14
LOT123,W01,-6,-4,3,103,2026-04-22,85,1.195,0.763,5.58
LOT123,W01,-6,-3,3,108,2026-04-22,85,1.187,0.777,5.697
LOT123,W01,-6,-2,1,1,2026-04-22,85,0.776,0.777,5.859
LOT123,W01,-6,-1,1,1,2026-04-22,85,0.788,0.726,5.88
LOT123,W01,-6,0,1,1,2026-04-22,85,0.769,0.73,6.044
LOT123,W01,-6,1,1,1,2026-04-22,85,0.768,0.788,6.129
LOT123,W01,-6,2,1,1,2026-04-22,85,0.791,0.773,6.213
LOT123,W01,-6,3,3,101,2026-04-22,85,1.158,0.769,6.272
LOT123,W01,-6,4,3,109,2026-04-22,85,1.205,0.747,6.488
LOT123,W01,-5,-5,1,1,2026-04-22,85,0.796,0.744,5.555
LOT123,W01,-5,-4,1,1,2026-04-22,85,0.776,0.712,5.545
LOT123,W01,-5,-3,1,1,2026-04-22,85,0.772,0.763,5.758
LOT123,W01,-5,-2,1,1,2026-04-22,85,0.759,0.765,5.84
LOT123,W01,-5,-1,1,1,2026-04-22,85,0.767,0.75,5.953
LOT123,W01,-5,0,1,1,2026-04-22,85,0.764,0.741,5.978
LOT123,W01,-5,1,1,1,2026-04-22,85,0.757,0.745,6.047
LOT123,W01,-5,2,1,1,2026-04-22,85,0.764,0.767,6.259
LOT123,W01,-5,3,1,1,2026-04-22,85,0.773,0.749,6.38
LOT123,W01,-5,4,1,1,2026-04-22,85,0.791,0.724,6.501
LOT123,W01,-5,5,3,106,2026-04-22,85,1.196,0.781,6.502
LOT123,W01,-4,-6,1,1,2026-04-22,85,0.794,0.754,5.431
LOT123,W01,-4,-5,1,1,2026-04-22,85,0.78,0.7,5.414
LOT123,W01,-4,-4,1,1,2026-04-22,85,0.779,0.741,5.582
LOT123,W01,-4,-3,1,1,2026-04-22,85,0.769,0.733,5.728
LOT123,W01,-4,-2,1,1,2026-04-22,85,0.752,0.759,5.732
LOT123,W01,-4,-1,1,1,2026-04-22,85,0.731,0.713,5.919
LOT123,W01,-4,0,1,1,2026-04-22,85,0.758,0.739,5.91
LOT123,W01,-4,1,1,1,2026-04-22,85,0.74,0.749,6.109
LOT123,W01,-4,2,1,1,2026-04-22,85,0.755,0.724,6.222
LOT123,W01,-4,3,1,1,2026-04-22,85,0.751,0.726,6.286
LOT123,W01,-4,4,1,1,2026-04-22,85,0.776,0.736,6.406
LOT123,W01,-4,5,1,1,2026-04-22,85,0.768,0.719,6.468
LOT123,W01,-4,6,1,1,2026-04-22,85,0.808,0.787,6.618
LOT123,W01,-3,-6,3,107,2026-04-22,85,1.182,0.745,5.437
LOT123,W01,-3,-5,1,1,2026-04-22,85,0.773,0.711,5.483
LOT123,W01,-3,-4,1,1,2026-04-22,85,0.758,0.728,5.611
LOT123,W01,-3,-3,1,1,2026-04-22,85,0.742,0.705,5.681
LOT123,W01,-3,-2,1,1,2026-04-22,85,0.734,0.752,5.769
LOT123,W01,-3,-1,1,1,2026-04-22,85,0.731,0.724,5.863
LOT123,W01,-3,0,1,1,2026-04-22,85,0.725,0.731,6.028
LOT123,W01,-3,1,1,1,2026-04-22,85,0.717,0.743,6.147
LOT123,W01,-3,2,1,1,2026-04-22,85,0.747,0.712,6.279
LOT123,W01,-3,3,1,1,2026-04-22,85,0.739,0.723,6.456
LOT123,W01,-3,4,1,1,2026-04-22,85,0.766,0.709,6.342
LOT123,W01,-3,5,1,1,2026-04-22,85,0.776,0.767,6.51
LOT123,W01,-3,6,1,1,2026-04-22,85,0.81,0.747,6.672
LOT123,W01,-2,-7,1,1,2026-04-22,85,0.796,0.706,5.278
LOT123,W01,-2,-6,1,1,2026-04-22,85,0.774,0.733,5.478
LOT123,W01,-2,-5,1,1,2026-04-22,85,0.771,0.714,5.543
LOT123,W01,-2,-4,1,1,2026-04-22,85,0.757,0.715,5.616
LOT123,W01,-2,-3,1,1,2026-04-22,85,0.737,0.713,5.848
LOT123,W01,-2,-2,1,1,2026-04-22,85,0.714,0.72,5.88
LOT123,W01,-2,-1,1,1,2026-04-22,85,0.703,0.72,5.925
LOT123,W01,-2,0,1,1,2026-04-22,85,0.708,0.752,6.018
LOT123,W01,-2,1,1,1,2026-04-22,85,0.694,0.741,6.123
LOT123,W01,-2,2,1,1,2026-04-22,85,0.713,0.719,6.189
LOT123,W01,-2,3,1,1,2026-04-22,85,0.735,0.723,6.273
LOT123,W01,-2,4,1,1,2026-04-22,85,0.746,0.706,6.39
LOT123,W01,-2,5,1,1,2026-04-22,85,0.763,0.735,6.561
